Date,Close,Volume,Daily Log Return,20-Day Rolling Volatility,50-Day Moving Average,200-Day Moving Average,Distance from 50-Day MA,Distance from 200-Day MA,Max Drawdown,Volume Change,ATR,RSI,MACD,MACD Signal,Close_VIX,Volume_scaled,Daily Log Return_scaled,20-Day Rolling Volatility_scaled,50-Day Moving Average_scaled,200-Day Moving Average_scaled,Distance from 50-Day MA_scaled,Distance from 200-Day MA_scaled,Max Drawdown_scaled,Volume Change_scaled,ATR_scaled,RSI_scaled,MACD_scaled,MACD Signal_scaled,State
2010-02-10 13:00:00+00:00,33.38763427734375,16394,0.0111155869038847,0.1699199735943563,34.8159211730957,32.506101036071776,-1.4282868957519526,0.8815332412719741,-0.0721160874756735,0.7719412019022913,0.7569430020142385,38.32310924764827,-0.5790833307404739,-0.4668705120351705,23.34000015258789,-0.5545584854052825,1.1172720670001124,0.4609428205064306,-0.9871432209816132,-1.1656554638060073,-0.9765778447353076,-0.1739749086665704,-1.9231781350373347,0.0981559633757427,0.7645691514551795,-1.4140249446188986,-1.3132606950782382,-1.1640010206043714,2
2010-02-11 13:00:00+00:00,33.42738723754883,9530,0.0011899409442511,0.1659082808468259,34.78946075439453,32.5312836933136,-1.3620735168457043,0.8961035442352312,-0.0707180151424753,-0.4186897645480053,0.7381613732334344,38.980721487854,-0.5535226201955723,-0.4842009336672509,22.25,-0.6131546691986847,0.0928498981644767,0.4035001696408928,-0.9892088232709414,-1.1635404813081944,-0.9402352474217662,-0.1693268585855548,-1.8721639874856584,-0.3223498147051215,0.696341622749185,-1.3529768241039477,-1.2638122559026723,-1.1996468313541848,2
2010-02-14 13:00:00+00:00,33.38763427734375,14209,-0.001189940944251,0.1657452589246826,34.76106986999512,32.5562675857544,-1.3734355926513686,0.8313666915893521,-0.0718231481730892,0.4909758656873033,0.7000365920476572,38.538210917929845,-0.5303596487001556,-0.4934326766738318,22.36000061035156,-0.5732112624432463,-0.152776812248836,0.4011658903362596,-0.9914251251546634,-1.1614421922066067,-0.946471560270803,-0.1899784630130107,-1.912489096672965,-0.0010750751643313,0.5578467332420024,-1.3940564101430062,-1.2190023596713278,-1.2186349997374832,2
2010-02-15 13:00:00+00:00,33.59771728515625,10228,0.0062725265065899,0.1656975086129024,34.72552444458008,32.5819680595398,-1.1278071594238313,1.015749225616453,-0.0590016150131692,-0.2801745372651136,0.6808577903216442,42.26809875259369,-0.4894092784016095,-0.4926279970193874,22.020000457763672,-0.607196024634612,0.6174216334690483,0.4004821628773216,-0.9941999380909832,-1.1592837205362163,-0.811653259422813,-0.1311588726185121,-1.4446452169771145,-0.2734291540924599,0.4881764048280194,-1.0477997133902632,-1.1397818743343715,-1.2169799067867464,2
2010-02-16 13:00:00+00:00,34.3302116394043,9753,0.0215676455841278,0.1869713080969818,34.705764312744144,32.61219917297363,-0.3755526733398469,1.7180124664306646,-0.0384860544317987,-0.0464411419632381,0.6845461163163872,52.9821029672749,-0.3933157431746821,-0.4727655462504464,20.11000061035156,-0.6112509761646041,2.196025093811396,0.7050975741895915,-0.9957424901578532,-1.1567447400311814,-0.3987626576040378,0.092869050588865,-0.6960545970559971,-0.1908794421964857,0.501574889625067,-0.0531865044102589,-0.9538842513599748,-1.1761261309140028,2
2010-02-17 13:00:00+00:00,34.210968017578125,16906,-0.0034794773806762,0.1868948861957039,34.692590942382814,32.6390824508667,-0.4816229248046895,1.5718855667114229,-0.0344555384119968,0.733415359376602,0.669718985133083,51.31264341538893,-0.3230588663969911,-0.4428242102797554,19.739999771118164,-0.5501876744929541,-0.3890790026926264,0.7040033037980484,-0.9967708542319004,-1.1544869297579567,-0.4569815326955959,0.0462533316301461,-0.5489854261260408,0.0845494472981499,0.4477127602941771,-0.2081674516725636,-0.8179689022187976,-1.1145417552844918,2
2010-02-18 13:00:00+00:00,33.97816848754883,12441,-0.0068280798507882,0.1865908485200576,34.67987213134766,32.66528715133667,-0.7017036437988295,1.3128813362121576,-0.0236577802287251,-0.2641074174849166,0.6466225367383369,48.124453775129005,-0.2829036249763845,-0.4108400932190812,20.559999465942383,-0.5883042188748803,-0.7346869982781452,0.6996498472520877,-0.9977637336526098,-1.1522861102684878,-0.5777774364691152,-0.0363712121141645,-0.1549869068014613,-0.2677545858214589,0.3638108999044308,-0.5041366771270903,-0.7402866324133881,-1.048755716840151,0
2010-02-21 13:00:00+00:00,34.67658233642578,36933,0.0203463834379876,0.192844393085144,34.68202995300293,32.694927253723144,-0.0054476165771504,1.9816550827026376,0.0,1.968652037617555,0.6547833600011967,56.79704101677762,-0.1925050675429744,-0.3671730880838599,19.700000762939453,-0.3792223812484223,2.0699790891932794,0.789193139755102,-0.9975952857757476,-1.1497967662259272,-0.1956227595378651,0.1769732786898417,0.7082599100298912,0.5208090232155529,0.3934565078508723,0.300965659378928,-0.5654062212858313,-0.9589399100406262,0
2010-02-22 13:00:00+00:00,34.66522216796875,13099,-0.0003276571366972,0.1921985246620184,34.68986595153809,32.72544738769531,-0.0246437835693384,1.9397747802734384,-0.00032760346296,-0.6453307340318957,0.6177470375995414,56.6311975557325,-0.1203924212536193,-0.3178169547178118,19.46999931335449,-0.5826870439133333,-0.0637808263071161,0.779945074993034,-0.9969835775221412,-1.147233512135535,-0.2061589771193357,0.1636131074161292,0.6963060139395139,-0.4023946311959608,0.2589156339301797,0.2855699124972524,-0.4259007956614438,-0.8574225074834955,0
2010-02-23 13:00:00+00:00,34.23936080932617,7989,-0.012361058226077,0.1863159884382733,34.693272552490235,32.75514420509339,-0.4539117431640633,1.484216604232785,-0.0126085530245676,-0.3901061149706084,0.604040917674044,50.6594522245396,-0.0964937620724342,-0.2735523161887364,20.43000030517578,-0.6263097856359855,-1.3057436056148892,0.6957141790171443,-0.9967176451192924,-1.1447394048443724,-0.4417716713037821,0.0182861898912967,0.2481874451546075,-0.3122546717560271,0.2091257727004421,-0.2688051528896205,-0.3796676757791749,-0.766377467644674,0
